 ZPOOL1  ,20180524,10:24:40,ANDREWJ ,00000007,      ,20080924,000011,01.99.00,ANDREWJ.SOURCE.JCL,
 RMFRTP1 ,20180521,09:49:01,ANDREWJ ,00000064,      ,20050616,000039,01.26.00,ANDREWJ.SOURCE.JCL,
 RMFRPTB5,20180521,09:45:35,ANDREWJ ,00000091,      ,20180507,000028,01.04.00,ANDREWJ.SOURCE.JCL,
 PIJSORT ,20180519,01:05:05,ANDREWJ ,00000021,      ,20130826,000011,01.02.00,ANDREWJ.SOURCE.JCL,
 USRTRIMT,20180518,10:12:57,ANDREWJ ,00000320,      ,20180518,000320,01.00.00,ANDREWJ.SOURCE.ASM,
 TCPIRS1 ,20180509,13:27:05,ANDREWJ ,00000011,      ,20180509,000011,01.00.00,ANDREWJ.SOURCE.JCL,
 DSKINTC1,20180508,13:15:34,ANDREWJ ,00000068,      ,20180508,000068,01.00.00,ANDREWJ.SOURCE.JCL,
 RECATPRD,20180508,13:02:20,ANDREWJ ,00000174,      ,20180508,000174,01.00.00,ANDREWJ.SOURCE.JCL,
 RMFRPTB ,20180507,15:18:02,ANDREWJ ,00000131,      ,20100226,000010,01.06.00,ANDREWJ.SOURCE.JCL,
 DELMBRD ,20180507,15:11:33,ANDREWJ ,00000078,      ,20030617,000070,01.13.00,ANDREWJ.SOURCE.EXEC,
 RMFSYSIN,20180507,15:08:18,ANDREWJ ,00000006,      ,20100226,000006,01.05.00,ANDREWJ.SOURCE.JCL,
 ZPOOL   ,20180507,10:10:39,ANDREWJ ,00000188,      ,20160328,000188,01.32.00,ANDREWJ.SOURCE.JCL,
 ZSTAT   ,20180507,10:09:08,ANDREWJ ,00000188,      ,20160115,000188,01.39.00,ANDREWJ.SOURCE.JCL,
 ZSTAT04 ,20180507,09:59:21,ANDREWJ ,00000188,      ,20180507,000188,01.00.00,ANDREWJ.SOURCE.JCL,
 ZPOOL04 ,20180507,09:51:36,ANDREWJ ,00000188,      ,20180507,000188,01.00.00,ANDREWJ.SOURCE.JCL,
 ITPRESP2,20180418,14:15:10,ANDREWJ ,00000009,      ,20050323,000009,01.03.00,ANDREWJ.SOURCE.JCL,
 $TAPP   ,20180411,13:14:55,ANDREWJ ,00000021,      ,20180411,000021,01.00.00,ANDREWJ.SOURCE.JCL,
 $TAP    ,20180411,13:09:30,ANDREWJ ,00000001,      ,20131122,000013,01.14.00,ANDREWJ.SOURCE.JCL,
 DSKINTWK,20180411,10:23:17,ANDREWJ ,00000008,      ,20180411,000008,01.00.00,ANDREWJ.SOURCE.JCL,
 AMHBKUP ,20180410,20:27:10,ANDREWJ ,00000195,      ,20070207,000179,01.07.00,ANDREWJ.SOURCE.EXEC,
 RMF3PARS,20180402,17:58:07,ANDREWJ ,00001013,      ,20151208,000785,01.03.00,ANDREWJ.SOURCE.ASM,
 SORTPIJ ,20180329,10:54:49,ANDREWJ ,00000024,      ,20180329,000024,01.00.00,ANDREWJ.SOURCE.JCL,
 PGMRTOQA,20180328,13:10:38,ANDREWJ ,00000524,      ,20180328,000524,01.00.00,ANDREWJ.SOURCE.JCL,
 QATOPGMR,20180328,13:10:21,ANDREWJ ,00000524,      ,20180328,000524,01.00.00,ANDREWJ.SOURCE.JCL,
 DITTMP  ,20180320,16:09:10,ANDREWJ ,00000010,      ,20180320,000010,01.01.00,ANDREWJ.SOURCE.JCL,
 CQC700  ,20180315,16:22:45,ANDREWJ ,00000100,      ,20180315,000100,01.00.00,ANDREWJ.SOURCE.EXEC,
 CQC603  ,20180315,16:17:28,ANDREWJ ,00000039,      ,20180315,000039,01.00.00,ANDREWJ.SOURCE.EXEC,
 CQC600  ,20180315,15:39:19,ANDREWJ ,00000076,      ,20180315,000076,01.01.00,ANDREWJ.SOURCE.EXEC,
 CQUERY  ,20180315,15:36:49,ANDREWJ ,00000076,      ,20180315,000076,01.00.00,ANDREWJ.SOURCE.EXEC,
 RSTRVGEN,20180309,17:44:42,ANDREWJ ,00000010,      ,20180309,000010,01.00.00,ANDREWJ.SOURCE.JCL,
 P1TOT64 ,20180308,16:04:23,ANDREWJ ,00000639,      ,20180308,000639,01.01.00,ANDREWJ.SOURCE.JCL,
 REXXCOMP,20180302,13:30:41,ANDREWJ ,00000008,      ,20050519,000007,01.55.00,ANDREWJ.SOURCE.JCL,
 RMFCURR ,20180301,13:20:02,ANDREWJ ,00000022,      ,20061201,000046,01.25.00,ANDREWJ.SOURCE.JCL,
 MOVE    ,20180223,15:29:39,ANDREWJ ,00000010,      ,20030710,000012,01.05.00,ANDREWJ.SOURCE.JCL,
 DSKINIT ,20180223,14:44:34,ANDREWJ ,00000010,      ,20030319,000006,01.07.00,ANDREWJ.SOURCE.JCL,
 USRTRIMP,20180222,18:16:47,ANDREWJ ,00000361,      ,20081223,000348,01.14.00,ANDREWJ.SOURCE.ASM,
 RUNDTP  ,20180222,17:30:00,ANDREWJ ,00000048,      ,20030925,000026,01.42.00,ANDREWJ.SOURCE.JCL,
 ANDRALCS,20180222,14:50:25,ANDREWJ ,00000108,      ,20180222,000111,01.01.00,ANDREWJ.SOURCE.EXEC,
 ANDRALCS,20180222,13:51:13,ANDREWJ ,00000365,      ,20180222,000365,01.00.00,ANDREWJ.SOURCE.JCL,
 PARSANDS,20180222,10:58:18,ANDREWJ ,00000205,      ,20140526,000186,01.01.00,ANDREWJ.SOURCE.ASM,
 ANDRTSO ,20180222,10:22:12,ANDREWJ ,00000132,      ,20140526,000133,01.04.00,ANDREWJ.SOURCE.EXEC,
 PARSANDR,20180222,10:14:07,ANDREWJ ,00000397,      ,20130222,000346,01.13.00,ANDREWJ.SOURCE.ASM,
 DBDFP2L4,20180214,13:14:04,ANDREWJ ,00000580,      ,20180214,000580,01.00.00,ANDREWJ.SOURCE.JCL,
 DBDFP1L4,20180214,13:09:51,ANDREWJ ,00000580,      ,20180214,000580,01.01.00,ANDREWJ.SOURCE.JCL,
 DBDFL4T ,20180214,12:20:31,ANDREWJ ,00000022,      ,20180214,000022,01.00.00,ANDREWJ.SOURCE.JCL,
 DBDFP1L1,20180213,23:56:53,ANDREWJ ,00000549,      ,20180213,000549,01.00.00,ANDREWJ.SOURCE.JCL,
 DBDFP2L1,20180213,23:50:59,ANDREWJ ,00000549,      ,20180213,000549,01.00.00,ANDREWJ.SOURCE.JCL,
 SLEEP   ,20180208,16:44:19,ANDREWJ ,00000121,      ,20040514,000120,01.01.00,ANDREWJ.SOURCE.ASM,
